title title 0.7308333333333333 0.0825 0.37833333333333335 0.08166666666666667
icon icon 0.685 0.20916666666666667 0.08666666666666667 0.065
icon icon 0.16666666666666666 0.5125 0.08666666666666667 0.105
icon icon 0.6916666666666667 0.7966666666666666 0.09 0.08
number 0 0.5491666666666667 0.315 0.018333333333333333 0.03
number 1 0.5683333333333334 0.31583333333333335 0.016666666666666666 0.035
textbox textbox 0.5916666666666667 0.36916666666666664 0.11 0.065
icon icon 0.6725 0.5158333333333334 0.07166666666666667 0.09166666666666666
icon icon 0.42 0.3566666666666667 0.08 0.09333333333333334
icon icon 0.41333333333333333 0.65 0.08 0.11333333333333333
number 0 0.32416666666666666 0.45166666666666666 0.018333333333333333 0.03333333333333333
number 5 0.3441666666666667 0.4533333333333333 0.021666666666666667 0.03333333333333333
textbox textbox 0.3416666666666667 0.5116666666666667 0.11333333333333333 0.06666666666666667
textbox textbox 0.5666666666666667 0.665 0.11666666666666667 0.06
number 0 0.5583333333333333 0.6108333333333333 0.016666666666666666 0.025
number 3 0.5791666666666667 0.6108333333333333 0.018333333333333333 0.028333333333333332
number 0 0.835 0.4608333333333333 0.023333333333333334 0.03833333333333333
number 2 0.8591666666666666 0.46 0.025 0.04
textbox textbox 0.8916666666666667 0.5325 0.14333333333333334 0.08166666666666667
textbox textbox 0.2866666666666667 0.19 0.15 0.07666666666666666
number 0 0.23 0.115 0.023333333333333334 0.03666666666666667
number 6 0.25583333333333336 0.115 0.028333333333333332 0.03666666666666667
number 0 0.2375 0.7516666666666667 0.025 0.03666666666666667
number 4 0.2633333333333333 0.7525 0.02666666666666667 0.03833333333333333
icon icon 0.5008333333333334 0.49833333333333335 0.075 0.09
textbox textbox 0.295 0.8258333333333333 0.14666666666666667 0.075
textbox textbox 0.1875 0.9425 0.27166666666666667 0.055
